id,permalink,suite_version,top_model_name,top_backend,top_workload,accelerator_summary,top_decode_tps,received_at
r_o636l3cc-rr,https://llm-speed.com/r/r_o636l3cc-rr,suite-v1,glm-4.7-flash,ollama,agent-trace,RTX 4090 (24GB) + AMD EPYC 75F3 32-Core Processor (64c) + 504GB,129.8666789443812,2026-07-08 01:27:33
r_h_659oy695r,https://llm-speed.com/r/r_h_659oy695r,suite-v1,qwen3.6,ollama,agent-trace,RTX 4090 (48GB) + AMD EPYC 7763 64-Core Processor (128c) + 1008GB,44.17876172565131,2026-07-02 21:18:18
r_x23y_sg24pm,https://llm-speed.com/r/r_x23y_sg24pm,suite-v1,gemma3,ollama,chat-short,RTX 4090 (24GB) + AMD EPYC 7443 24-Core Processor (24c) + 252GB,46.95061465493056,2026-07-02 17:00:31
r_3kmrc135e0e,https://llm-speed.com/r/r_3kmrc135e0e,suite-v1,gemma3,ollama,chat-short,RTX 4090 (24GB) + AMD EPYC 7443 24-Core Processor (24c) + 252GB,92.65205950408605,2026-07-02 16:56:18
r_dlanfbgym0h,https://llm-speed.com/r/r_dlanfbgym0h,suite-v1,gemma3,ollama,chat-short,RTX 4090 (24GB) + AMD EPYC 7443 24-Core Processor (24c) + 252GB,195.00459763764187,2026-07-02 16:53:44
r_zrjj-pj93q8,https://llm-speed.com/r/r_zrjj-pj93q8,suite-v1,deepseek-r1,ollama,chat-long,RTX 4090 (24GB) + AMD EPYC 75F3 32-Core Processor (64c) + 504GB,81.09176026434807,2026-07-02 14:48:45
r_fg77v2hhohb,https://llm-speed.com/r/r_fg77v2hhohb,suite-v1,deepseek-r1,ollama,agent-trace,RTX 4090 (24GB) + AMD EPYC 75F3 32-Core Processor (64c) + 504GB,133.83569592052584,2026-07-02 14:46:08
r_l2ck67ls40i,https://llm-speed.com/r/r_l2ck67ls40i,suite-v1,deepseek-r1,ollama,agent-trace,RTX 4090 (24GB) + AMD EPYC 75F3 32-Core Processor (64c) + 504GB,3.786046829490515,2026-07-02 13:58:55
r_2r1p3w9ps7c,https://llm-speed.com/r/r_2r1p3w9ps7c,suite-v1,deepseek-r1,ollama,agent-trace,RTX 4090 (24GB) + AMD EPYC 75F3 32-Core Processor (64c) + 504GB,132.36819139631524,2026-07-02 13:42:24
r_wjq32z47vlp,https://llm-speed.com/r/r_wjq32z47vlp,suite-v1,qwen3-coder,ollama,concurrent-decode,RTX 4090 (24GB) + AMD EPYC 7352 24-Core Processor (24c) + 252GB,179.89014438639308,2026-07-02 12:21:51
r_iu2sfa9ykvw,https://llm-speed.com/r/r_iu2sfa9ykvw,suite-v1,gpt-oss,ollama,chat-long,RTX 4090 (24GB) + AMD EPYC 7352 24-Core Processor (24c) + 252GB,141.7443259683865,2026-07-02 12:19:16
r_73tnfdueq2h,https://llm-speed.com/r/r_73tnfdueq2h,suite-v1,qwen2.5-coder,ollama,chat-short,RTX 4090 (48GB) + AMD EPYC 7763 64-Core Processor (128c) + 1008GB,89.45371428505361,2026-07-02 06:49:34
r_h1ub_1uxzdh,https://llm-speed.com/r/r_h1ub_1uxzdh,suite-v1,llama3.1,ollama,chat-short,RTX 4090 (48GB) + AMD EPYC 7763 64-Core Processor (128c) + 1008GB,154.37022441747067,2026-07-02 06:47:15
r_mv8n8k9wu1e,https://llm-speed.com/r/r_mv8n8k9wu1e,suite-v1,qwen2.5-coder,ollama,concurrent-decode,RTX 4090 (48GB) + AMD EPYC 7763 64-Core Processor (128c) + 1008GB,161.14833567376076,2026-07-02 06:45:29
r_o2-1w665rtq,https://llm-speed.com/r/r_o2-1w665rtq,suite-v1,deepseek-coder-v2,ollama,chat-short,RTX 3090 (24GB) + AMD EPYC 7702P 64-Core Processor (64c) + 252GB,189.4747960468384,2026-07-02 05:14:55
r_6ahy-dq0f_0,https://llm-speed.com/r/r_6ahy-dq0f_0,suite-v1,qwen2.5-coder,ollama,chat-short,RTX 3090 (24GB) + AMD EPYC 7702P 64-Core Processor (64c) + 252GB,69.21279500618812,2026-07-02 05:12:05
r_9hurqggbshk,https://llm-speed.com/r/r_9hurqggbshk,suite-v1,llama3.1,ollama,chat-short,RTX 3090 (24GB) + AMD EPYC 7663 56-Core Processor (56c) + 252GB,136.2044382840296,2026-07-02 04:44:14
